Number,ReproSex,CL,Captures,Distance_m
12,F,29.8,4,133
14,F,25,5,74
45,F,26.6,2,67
5,F,28.5,2,54
4,F,28.7,4,23
25,F,23.5,2,0
26,F,26.8,2,0
16,J,17.5,2,42
20,M,31,4,703
15,M,29.2,4,305
7,M,24.4,4,244
121,M,29.2,3,238
100,M,30.8,2,228
2.1,M,29.6,6,221
300,M,28.9,3,144
110,M,31.4,2,89
6,M,28.8,5,81
32,M,27.9,2,0
111,M,24,2,0
1000,M,26.2,2,0
31,M,23.5,3,0
112,M,27.3,3,0
3,M,28.7,9,0
